'SongId','Title'
1,'Overture'
2,'A Bar In Amsterdam'
3,'Demon Kitty Rag'
4,'Tea With Cinnamon'
5,'Hey Ho on the Devil''s Back'
6,'Wading in Deeper'
7,'Le Pop'
8,'Der Kapitan'
9,'Virginia Clemm'
10,'Play My Darling,  Play'
11,'To the Sea'
12,'Mother Superior'
13,'Ain't no Thang'
14,'A Kiss Before You Go'
15,'I Will Dance (When I Walk Away)'
16,'Cherry Pie'
17,'Land of Confusion'
18,'Lady Marlene'
19,'Rock-Paper-Scissors'
20,'Cocktails and Ruby Slippers'
21,'Soviet Trumpeter'
22,'Loathsome M'
23,'Shepherd's Song'
24,'Gypsy Flee'
25,'God's Great Dust Storm'
26,'Ouch'
27,'Listening to the World'
28,'Johnny Blowtorch'
29,'Flash'
30,'Driving After You'
31,'My Own Tune'
32,'Badlands'
33,'Old De Spain'
34,'Oh My God'
35,'Lady Gray'
36,'Shine Like Neon Rays'
37,'Flash in the Dark'
38,'My Dear'
39,'Bad Girl'
40,'Rockland'
41,'Curvaceous Needs'
42,'Borka'
43,'Let it Snow'
