'SongId','Bandmate','Type'
2,1,'lead'
2,3,'chorus'
2,4,'chorus'
3,2,'lead'
4,1,'chorus'
4,2,'lead'
4,3,'chorus'
4,4,'chorus'
5,2,'lead'
5,1,'chorus'
5,3,'chorus'
5,4,'chorus'
6,4,'lead'
6,1,'lead'
7,4,'lead'
7,2,'lead'
7,3,'chorus'
8,1,'chorus'
8,2,'chorus'
8,3,'chorus'
8,4,'chorus'
9,1,'lead'
9,3,'chorus'
10,3,'lead'
10,1,'chorus'
10,2,'chorus'
11,1,'chorus'
11,2,'chorus'
11,3,'lead'
11,4,'chorus'
12,1,'chorus'
12,2,'chorus'
12,3,'chorus'
12,4,'lead'
13,2,'lead'
13,1,'chorus'
13,3,'chorus'
14,4,'lead'
15,1,'lead'
15,2,'chorus'
15,3,'chorus'
15,4,'chorus'
16,1,'shared'
16,2,'shared'
16,3,'chorus'
16,4,'chorus'
17,2,'lead'
18,3,'lead'
19,1,'lead'
19,3,'chorus'
20,3,'lead'
20,4,'chorus'
20,1,'chorus'
21,1,'lead'
21,4,'chorus'
22,1,'chorus'
22,2,'shared'
22,3,'chorus'
22,4,'lead'
23,1,'chorus'
23,2,'lead'
23,3,'chorus'
23,4,'chorus'
24,1,'chorus'
24,2,'chorus'
24,3,'chorus'
24,4,'chorus'
25,1,'chorus'
25,2,'lead'
25,3,'chorus'
25,4,'chorus'
26,2,'lead'
26,1,'chorus'
26,3,'chorus'
26,4,'chorus'
27,4,'lead'
28,4,'lead'
28,3,'chorus'
29,3,'lead'
29,4,'chorus'
30,2,'lead'
31,3,'shared'
31,4,'shared'
31,4,'rap'
32,1,'shared'
32,2,'shared'
33,1,'chorus'
33,2,'chorus'
33,3,'lead'
33,4,'chorus'
34,1,'shared'
34,3,'shared'
34,4,'chorus'
35,1,'chorus'
35,2,'lead'
35,3,'chorus'
35,4,'chorus'
36,1,'lead'
36,3,'chorus'
36,4,'chorus'
37,1,'chorus'
37,2,'chorus'
37,3,'lead'
37,4,'chorus'
38,1,'chorus'
38,2,'chorus'
38,3,'chorus'
38,4,'lead'
39,1,'lead'
39,3,'chorus'
40,1,'chorus'
40,2,'chorus'
40,3,'lead'
40,4,'chorus'
41,1,'chorus'
41,2,'lead'
41,3,'chorus'
41,4,'chorus'
42,1,'lead'
42,2,'chorus'
42,3,'chorus'
42,4,'chorus'
43,1,'chorus'
43,2,'lead'
43,4,'chorus'
